RANK,CHEMICAL,TOTAL_RELEASES,N_FACILITIES,N_YEARS_REPORTED,CARCINOGEN,PBT,PFAS,CLASSIFICATION
95,Acrylic acid,173440.47,16,15,NO,NO,NO,TRI
96,Cadmium  And Cadmium Compounds,171383.432,5,7,YES,NO,NO,TRI
97,Beryllium  And Beryllium Compounds,168143.21899999998,1,4,YES,NO,NO,TRI
98,Silver And Silver Compounds,166638.294,5,7,NO,NO,NO,TRI
99,Butyl acrylate,153547.76,15,15,NO,NO,NO,TRI
100,Dimethylamine,151469.186,6,15,NO,NO,NO,TRI
101,"1,2-Dichloroethane",147752.16,3,15,YES,NO,NO,TRI
102,Trichlorofluoromethane (CFC-11),141760.95,2,15,NO,NO,NO,TRI
103,Dichlorodifluoromethane (CFC-12),138764.31,3,15,NO,NO,NO,TRI
104,Formic acid,135128.008,16,15,NO,NO,NO,TRI
105,Acetophenone,128369.6,3,10,NO,NO,NO,TRI
106,Creosote,127077.1,2,15,YES,NO,NO,TRI
107,Nicotine and salts,125604.72,2,12,NO,NO,NO,TRI
108,Arsenic,120245.27100000001,7,15,YES,NO,NO,TRI
109,"4,4'-Isopropylidenediphenol",119220.04,15,15,NO,NO,NO,TRI
110,Nonylphenol Ethoxylates,117610.796,31,6,NO,NO,NO,TRI
111,Triethylamine,114230.042,14,15,NO,NO,NO,TRI
112,Diethanolamine,101065.706,26,15,NO,NO,NO,TRI
113,Phenanthrene,94834.61,6,15,NO,NO,NO,TRI
114,Acrylamide,83461.789,8,15,YES,NO,NO,TRI
115,Ethylene oxide,82634.086,7,15,YES,NO,NO,TRI
116,Bromine,79704.0,1,7,NO,NO,NO,TRI
117,Mercury compounds,76934.567,65,15,NO,YES,NO,PBT
118,"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)",76168.0,2,15,NO,NO,NO,TRI
119,"1,2-Dichloroethylene",73884.05,3,9,NO,NO,NO,TRI
120,Arsenic  And Arsenic Compounds,71992.84,3,4,YES,NO,NO,TRI
121,"1-Chloro-1,1-difluoroethane (HCFC-142b)",70861.95,2,12,NO,NO,NO,TRI
122,Propionaldehyde,69446.45,2,15,NO,NO,NO,TRI
123,"Benzo[g,h,i]perylene",67894.474,55,15,NO,YES,NO,PBT
124,Vinylidene chloride,61403.6,2,7,YES,NO,NO,TRI
125,Propylene oxide,58677.95,8,15,YES,NO,NO,TRI
126,Mercury,53731.678,47,15,NO,YES,NO,PBT
127,Dichlorotetrafluoroethane (CFC-114),52963.95,2,13,NO,NO,NO,TRI
128,Di(2-ethylhexyl) phthalate,52607.767,10,14,YES,NO,NO,TRI
129,Dicyclopentadiene,52605.76,3,15,NO,NO,NO,TRI
130,Anthracene,48946.68,3,15,NO,NO,NO,TRI
131,2-Mercaptobenzothiazole,48719.68,9,15,YES,NO,NO,TRI
132,Epichlorohydrin,48395.902,3,15,YES,NO,NO,TRI
133,Fluorine,47413.82,2,15,NO,NO,NO,TRI
134,Antimony  And Antimony Compounds,47060.78,9,7,NO,NO,NO,TRI
135,Hydrogen cyanide,44544.75,4,15,NO,NO,NO,TRI
136,Triglycidyl isocyanurate,43107.119999999995,4,2,NO,NO,NO,TRI
137,"2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)",42365.95,2,12,NO,NO,NO,TRI
138,Cobalt,41612.593,32,15,YES,NO,NO,TRI
139,Peracetic acid,38459.63,20,15,NO,NO,NO,TRI
140,Selenium  And Selenium Compounds,36045.9,1,1,NO,NO,NO,TRI
141,Ethyl acrylate,33413.71,9,15,YES,NO,NO,TRI
142,Polychlorinated biphenyls,32848.06,6,15,YES,YES,NO,PBT
143,Chloroethane,31682.0,2,14,NO,NO,NO,TRI
